codigo_bip,descripcion,anio,tipologia,sector,sub_sector,fuente_financiera,rate,monto_solicitado_M,etapa_actual,institucion_financiera,institucion_formuladora,costo_total_M,localidad,tipo_territorial,latitud,longitud,decada,periodo_pladeco
20077736,CONSTRUCCION CALLE BISQUERT SECTOR POBL EL NARANJAL,1998,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,FI,24318.0,PERFIL,SERVICIO VIVIENDA Y URBANIZACION VI REGION,SEREMI VIVIENDA VI REGION,24318.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20087393,REPOSICION POSTA SALUD RURAL POPETA RENGO,1998,PROYECTO,Salud,BAJA COMPLEJIDAD,FNDR,RS,50009.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,50009.0,Popeta,Rural,-34.42,-70.88,1990s,Pre-PLADECO
20087720,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,1998,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,2594.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,11844.0,Esmeralda,Rural,-34.34281,-70.9049,1990s,Pre-PLADECO
20087720,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,1998,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,405410.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,405410.0,Esmeralda,Rural,-34.34281,-70.9049,1990s,Pre-PLADECO
20090483,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,1998,PROYECTO,Recursos Hídricos,AGUA POTABLE,Empresa,RS,187193.0,EJECUCION,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,307313.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20090483,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,1998,PROYECTO,Recursos Hídricos,AGUA POTABLE,Empresa,RS,2500.0,EJECUCION,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,31396.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20097357,CONSTRUCCION PAVIMENTACION AVENIDA MADRID.,1998,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,RS,64838.0,EJECUCION,SERVICIO VIVIENDA Y URBANIZACION VI REGION,MUNICIPALIDAD DE RENGO,98793.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20097359,CONSTRUCCION PAVIMENTACION AV. EL CIPRES,1998,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",FNDR,FI,53000.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,81813.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20098924,CONSTRUCCION SERVICIO A.P.R. SECTOR LA ESMERALDA RENGO,1998,PROYECTO,Recursos Hídricos,AGUA POTABLE,Sectorial,FI,93800.0,EJECUCION,DIRECCION DE PLANEAMIENTO,DIRECCION PLANEAMIENTO MOP VI REGION,93800.0,Esmeralda,Rural,-34.34281,-70.9049,1990s,Pre-PLADECO
20107943,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,1998,PROYECTO,Educación y Cultura,ARTE Y CULTURA,FNDR,FI,253046.0,OPERACION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,253046.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20107943,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,1998,PROYECTO,Educación y Cultura,ARTE Y CULTURA,FNDR,RS,20900.0,OPERACION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,20900.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20108704,REPOSICION ESCUELA F 185 LO DE LOBOS,1998,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,90772.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,94653.0,Lo De Lobo,Rural,-34.37523,-70.82941,1990s,Pre-PLADECO
20109709,CONSTRUCCION PAVIMENTACION CALLE COLO-COLO - RENGO.,1998,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,RS,35391.0,EJECUCION,SERVICIO VIVIENDA Y URBANIZACION VI REGION,MUNICIPALIDAD DE RENGO,35391.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20109716,EQUIPAMIENTO COMPUTACIONAL ESC.BASICAS DE RENGO,1998,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,FI,55000.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,55000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20109892,MEJORAMIENTO EVACUACION AGUAS LLUVIAS RENGO,1998,PROYECTO,Recursos Hídricos,EVACUACION DISPOSICION FINAL AGUAS SERVIDAS,Sectorial,OT,60000.0,PERFIL,SERVICIO VIVIENDA Y URBANIZACION VI REGION,SEREMI VIVIENDA VI REGION,60000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
